Cliente;Regional;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Contrato;Aditivo;Estação Ponta A;Estação Ponta B;Valor;Previsão;Status;Último Evento;Observação
ADP3 TELECOMUNICACOES LTDA;São Paulo;GOBL000044;ADP3 TELECOMUNICACOES;BL;100;0;0623/2016/DC/4600;29/07/2016;Contrato;;4750/001/2016;;GOGNA0TR001;desconhecido;R$ 3.500,00 ;00/00/0000;instalação;pend. implantação;"02/08/2016 - Aguardando PROA desde 01/08.
29/07/2016 - Enviadas OS e VTA para Engenharia"
AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;Governo;DFAC000056;ABIN BSA;AC;100;100;0132/2016/DC/4600;22/02/2016;Contrato;04/07/2016;00000001/2016;;DFBSA0PP001;desconhecido;R$ 37.179,17 ;00/00/0000;operação;ativado;04/07/2016 - Testes de banda realizados pelo cliente no dia 01/07 e notificação dos teste de banda enviada para GOM no dia 04/07.
AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;Governo;RJAC000011;ABIN RJO;AC;20;0;0133/2016/DC/4600;22/02/2016;Contrato;;;;desconhecido;desconhecido;R$ 12.976,95 ;30/04/2016;cancelado;cancelado;13/04/2016 - Recebida OS de Cancelamento de Ativação do circuito
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;ALL3000001;ANATEL - MACEIO;L3;10;0;067/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - PPI em elaboração. Entrega prevista para 22/08 - Aloo Telecom

10/06/2016 - Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;AML3000003;ANATEL - MANAUS;L3;10;0;068/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE - ativar em até 30 dias

10/06/2016 - Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;CEL3000001;ANATEL - FORTALEZA;L3;10;0;069/2018/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;DFAC000044;ANATEL - IP BRASILIA;AC;100;0;066/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 14.838,59 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;DFL3000019;ANATEL - BRASILIA;L3;100;0;070/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 10.438,66 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;GOL3000003;ANATEL - GOIANIA;L3;10;0;071/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;MTL3000003;ANATEL - CUIABA;L3;10;0;072/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE - ativar em até 30 dias

10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;PAL3000002;ANATEL - BELEM;L3;10;0;073/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - Aguardando confirmação de campo se temos condições de atendimento via rede própria, atendimento em até 90 dias.

10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;PBL3000002;ANATEL - JOAO PESSOA;L3;10;0;074/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;PEL3000003;ANATEL - RECIFE;L3;10;0;075/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE - ativar em até 30 dias

10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;PIL3000001;ANATEL - TERESINA;L3;10;0;076/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;RJL3000007;ANATEL - RIO DE JANEIRO;L3;10;0;077/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - PPI em elaboração. Entrega prevista para 19/08. MTEL

10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;RNL3000001;ANATEL - NATAL;L3;10;0;078/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE - ativar em até 30 dias

10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;ROL3000002;ANATEL - PORTO VELHO;L3;10;0;079/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"15/08/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE - ativar em até 30 dias

10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;SCL3000002;ANATEL - FLORIANOPOLIS;L3;10;0;080/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;;SEL3000001;ANATEL - ARACAJU;L3;10;0;081/2015/DC/4600;11/08/2015;Oportunidade;;;;desconhecido;desconhecido;R$ 4.506,62 ;05/11/2015;cancelado;cancelado;"10/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito

Acesso feito?   
Custo do Acesso: R$"
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES;Governo;DFAC000052;ANTT;AC;200;0;012/2016/DC/4600;01/02/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 0,00 ;17/05/2016;instalação;pend. implantação;"15/08/2016 - Em licenciamento.
25/07/2016 - Em licenciamento.
18/07/2016 - Aguardando aprovação da REDIR para alocação de recurso para implantação da rede metropolitana.
12/07/2016 - Aguardando aprovação da REDIR para alocação de recurso para implantação da rede metropolitana.
05/07/2016 - Aguardando aprovação da REDIR para alocação de recurso para implantação da rede metropolitana.
27/06/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
22/06/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
15/06/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
23/05/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
16/05/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
09/05/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
02/05/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
25/04/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
18/04/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
11/04/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
04/04/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
28/03/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
21/03/2016 - Aguardando licenciamento, já iniciado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
15/03/2016 - Aguardando licenciamento, já iniciado pela equipe de rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana - teremos uma caixa de EO em frente a ANTT.
11/03/2016 - Aguardando licenciamento, já iniciado pela equipe de rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana - teremos uma caixa de EO em frente a ANTT.
01/03/2016 - Aguardando licenciamento, já constatado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
29/02/2016 - Aguardando licenciamento, já constatado pela rede metropolitana, Eng. de Acesso solicitando prioridade para equipe da rede metropolitana.
03/02/2016 - Em agendamento de vistoria
02/02/2016 - Enviadas OSO e VTA para Engenharia"
AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;Governo;RJL2000015;ANP - CENTRO-URCA;L2;1000;0;01860/2015/DC/4600;31/08/2015;Contrato;;4.015/15-ANP-004.281;;RJRJO0PM012;RJRJO0PM002;R$ 40.030,00 ;21/12/2015;instalação;pend. cliente;"15/08/2016 - Necessário licenciamento para travessia por MND rua, previsto liberação do licenciamento para após as eleições (outubro/2016).
15/08/2016 - Necessário licenciamento para travessia por MND rua, previsto liberação do licenciamento para após as eleições (outubro/2016).
08/08/2016 - Necessário licenciamento para travessia por MND rua, previsto liberação do licenciamento para após as eleições (outubro/2016).
01/08/2016 - Necessário licenciamento para travessia por MND rua, previsto liberação do licenciamento para após as eleições (outubro/2016)."
AKTO TECNOLOGIA EIRELI - EPP;Belém;AMP2000001;AKTO TECNOLOGIA;P2;1000;0;0248/2016/DC/4600;21/07/2016;Contrato;;4740/056/2015;;desconhecido;desconhecido;R$ 11.000,00 ;00/00/0000;instalação;pend. implantação;21/07/2016 - Encaminhada OS e VTA para a Engenharia.
ALMEIDA E GOMES LTDA - ME;Belém;PABL000012;ALMEIDA E GOMES;BL;500;500;01570/2015/DC/4740;09/03/2015;Contrato;12/05/2015;4740/033/2015;;PASID0PP002;desconhecido;R$ 31.500,00 ;00/00/0000;operação;upgrade;06/05/2016 - Ampliação de banda de 400 para 500 Mbps.
ALPHA TELECOMUNICAÇOES LTDA - ME;Belém;AMBL000002;ALPHA TELECOM;BL;200;200;01697/2015/DC/4740;20/05/2015;Contrato;01/09/2015;4740/038/2013;;AMMNS0PM007;AMMNS0PM007;R$ 21.400,00 ;11/06/2015;operação;trânsito;15/07/2016 - Inclusão de Transito: ANS a ser liberado: 265226 / IPV4: 167.250.200/22 / IPV6: 2804:2c8c::/32
ALPINET INFORMÁTICA LTDA - ME;Rio de Janeiro;MGBL000013;ALPINET;BL;50;50;0239/2013/DC/4600;26/08/2013;Contrato;02/09/2013;4500/012/2013;;MGALS0TR002;MGALS0TR002;R$ 3.840,50 ;00/00/0000;operação;upgrade;14/05 - Alterado banda com sucesso.  Enviado email para pós-vendas e cliente.
ANDRES REFATTE CHEGUHEN EIRELI - ME;Porto Alegre;RSBL000014;ANDRES REFATTE;BL;300;300;0142/2016/DC/4600;24/02/2016;Contrato;30/03/2016;4770/010/2016;;RSGTI0PP001;desconhecido;R$ 8.000,00 ;00/00/0000;operação;upgrade;22/07/2016 - Recebida OS de ampliação de banda de 250 para 300 Mbps
APANET COMÉRCIO E SERVIÇO DE INTERNET  LTDA;;TOBL000009;APANET;BL;100;0;0140/2012/DC/4600;18/09/2012;Contrato;20/03/2013;;;TOARN0PP001;TOARN0PP001;R$ 0,00 ;00/00/0000;desativado;desativado;OS de desativação recebida. Circuito desativado
ARANET COMUNICAÇÃO LTDA - EPP;Brasília;MABL000018;ARANET-IMPERATRIZ;BL;250;250;0797/2013/DC/4600;09/11/2013;Contrato;29/01/2014;4500/056/2013;;MAITZ0PP001;MAITZ0PC012;R$ 16.575,00 ;00/00/0000;operação;upgrade;26/02/2016 - Ampliação de 200 para 250 Mbps.
ARANET COMUNICAÇÃO LTDA - EPP;Brasília;TOBL000002;ARANET-ARAGUAINA;BL;1000;1000;017/2011/DC/4600;28/11/2011;Contrato;02/07/2012;4730/015/2014;;TOARN0TR001;TOARN0TR001;R$ 55.000,00 ;00/00/0000;operação;trânsito;"05/08/2016 - Pedido de trânsito realizado
ASN: 265092
IPv4: 170.233.100/22
IPv6: 2804:32ac::/32"
Arion Serviços de Telecomunicações LTDA.;;SPAC000006;ARION SERVICES;AC;500;0;046/2015/EC/4600;23/07/2015;Oportunidade;18/08/2015;;;desconhecido;desconhecido;R$ 150.000,00 ;01/08/2015;desativado;desativado;29/09 - Desinstalação concluída 08/09 - Solicitada desativação do circuito
ARRAIS FALCÃO E SARAIVA CONSULTORIA E PRESTAÇÃO DE SERVIÇOS EM INTERNET LTDA - ME;Fortaleza;MABL000006;ARRAIS FALCÃO - ESTREITO;BL;150;150;01573/2015/DC/4600;11/03/2015;Contrato;17/04/2015;4730/006/2015;;MAGJU0PP001;desconhecido;R$ 14.634,00 ;00/00/0000;operação;alteração para AS;16/03/2016 - Mudança de Rota Estática para BGP - AS do Cliente: 263435 - Blocos IPV4: 177.67.92.0/22 / IPV6: 2804:11bc::/32/ OS CANCELADA - circuito já era BGP
ARRAIS FALCÃO E SARAIVA CONSULTORIA E PRESTAÇÃO DE SERVIÇOS EM INTERNET LTDA - ME;Fortaleza;MABL000017;ARRAIS FALCÃO - PORTO FRANCO;BL;350;350;0767/2013/DC/4600/3500;24/12/2013;Contrato;19/02/2014;4500/0051/2013;;MAPFN0PP001;MAPFN0PP001;R$ 26.250,00 ;00/00/0000;operação;mudança de configuração;"13/05/2016 - Este bloco já se encontra liberado pela ocorrência 15808.
13/05/2016 - Pedido de inclusÃ£o de IPv4 no AS do cliente
ASN:263435
IPv4: 177.67.92.0/22"
ARSENAL DE GUERRA DO RIO - AGR;Governo;RJAC000014;AGR;AC;10;0;0538/2016/DC/4600;16/06/2016;Contrato;;4760/007/2016 TELEBR;;RJRJO0PM012;desconhecido;R$ 4.497,75 ;14/11/2016;instalação;pend. comercial;"15/08/2016 - Aguardando comercial oficializar se o atendimento pode ser via rádio
08/08/2016 - Aguardando comercial oficializar se o atendimento pode ser via rádio.
01/08/2016 - Aguardando comercial oficializar se o atendimento pode ser via rádio."
ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO;Governo;PEAC000004;ITEP;AC;30;30;01267/2014/DC/4600;28/08/2014;Contrato;11/09/2014;ACORDO -Nº 07/2012;;PERCE0PM004;PERCE0PM004;R$ 0,00 ;00/00/0000;operação;mudança de configuração;01/08/2106 - Mudança provisionamento IP Transito.
AVANÇAR ENGENHARIA DE COMPUTAÇÃO EIRELI EPP;;MGP2000006;AVANÇAR ENGENHARIA - SÃO JOSÉ DA BARRA-BARUERI;P2;100;0;0251/2016/DC/4600;24/02/2016;Contrato;;4760/012/2015;;MGSJBATR001;SPBRE0PM002;R$ 2.700,00 ;25/04/2016;instalação;pend. cliente;"02/08/2016 - Em agendamento de instalção do rádio do cliente.
19/07/2016 - Aguardando projeto de rádio cliente desde 08/03.
11/07/2016 - Aguardando projeto de rádio cliente desde 08/03.
21/06/2016 - Aguardando projeto de rádio cliente desde 08/03.Realizado jumper na ALOG.
07/06/2016 - Aguardando projeto de rádio cliente desde 08/03.Realizado jumper na ALOG.
31/05/2016 - Aguardando projeto de rádio cliente desde 08/03.Realizado jumper na ALOG.
23/05/2016 - Aguardando projeto de rádio cliente desde 08/03.Realizado jumper na ALOG.
11/05/2016 - Aguardando projeto de rádio cliente desde 08/03. Agendado jumper na ALOG para 17/05.
03/05/2016 - Aguardando projeto de rádio cliente desde 08/03.
19/04/2016 - Aguardando projeto de rádio cliente desde 08/03.
19/04/2016 - Aguardando projeto de rádio cliente.
12/04/2016 - Aguardando projeto de rádio cliente."
AVNET COMUNICAÇÃO SEM FRONTEIRAS LTDA;;MABL000037;AVNET COMUNICAÇÃO;BL;100;0;01981/2015/DC/4600;17/11/2015;Contrato;;;;MAMIR0PP001;desconhecido;R$ 8.514,19 ;07/12/2015;cancelado;cancelado;08/03/2016 - Recebido da Comercial o email com a solicitação de cancelamento da demanda.
Axtelecom Telecomunicações Ltda;;MGBL000003;AX TELECOM;BL;82;82;;00/00/0000;Contrato;03/08/2012;;;MGPCS0PP001;MGPCS0PP001;R$ 0,00 ;00/00/0000;desativado;desativado;Memorando de desativação recebido. Circuito desativado
AXXESS TELECOMUNICAÇÕES LTDA - ME;Belém;AMBL000006;AXXESS TELECOMUNICAÇÕES;BL;100;100;01277/2014/DC/4600;17/09/2014;Contrato;03/08/2015;4740/041/2014;;AMMNS0PM007;AMMNS0PC014;R$ 15.000,00 ;30/09/2014;operação;trânsito;"17/05/2016 - Transito de AS 
ASN a ser liberado: 264344
IPV4: 138.185.84.0/22
IPV6 2804:2674::/32

ASN a ser liberado:263987
IPV4: 138.255.180/22
IPV6: 2804:28ec::/32

ASN a ser liberado: 264436
IPV4: 131.255.8.0/22
IPV6: 2804:1E90::/32

ASN a ser liberado:264289
IPV4: 138.121.28.0/22
IPV6: 2804:2594::/32

ASN a ser liberado: 265226
IPv4: 167.250.200/22
IPv6:2804:2c8c::/32"
AXXESS TELECOMUNICAÇÕES LTDA - ME;Belém;AMBL000008;AXXESS TELECOMUNICAÇÕES;BL;1000;1000;0088/2016/DC/4600;29/01/2016;Contrato;28/03/2016;4740/003/2016;;AMMNS0PM007;desconhecido;R$ 24.000,00 ;24/02/2016;operação;trânsito;"07/07/2016 - Pedido de Trânsito realizado
AS: 264984
IPv4: 170.84.28/22
IPv6: 2804:30f8::/32"
BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;;MABL000015;BALBINO SERVIÇO;BL;100;0;0629/2013/DC/4600;22/08/2013;Contrato;;;;desconhecido;desconhecido;R$ 2.440,00 ;00/00/0000;cancelado;cancelado;OS - 01416/2013/DC/4600
BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;;MABL000036;BALBINO;BL;100;0;01941/2015/DC/4600;26/10/2015;Contrato;;;;desconhecido;MAITZ0TR001;R$ 8.000,00 ;15/01/2016;cancelado;cancelado;04/05/2016 - Encaminhada OS de cancelamento para a engenharia de acesso
BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;;MABL000039;BALBINO;BL;100;0;02034/2015/DC/4600;15/12/2015;Contrato;;;;MAITZ0PP001;desconhecido;R$ 8.000,00 ;15/01/2016;cancelado;cancelado;04/05/2016 - Encaminhada OS de cancelamento para a engenharia de acesso
BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;;MABL000040;BALBINO;BL;300;0;02035/2015/DC/4600;15/12/2015;Contrato;;;;MAITZ0TR001;desconhecido;R$ 19.500,00 ;15/01/2016;cancelado;cancelado;04/05/2016 - Encaminhada OS de cancelamento para a engenharia de acesso
