Cliente;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Estação;Acesso;Endereço;Cidade;UF;CEP;Estação;Acesso;Endereço B;Cidade;UF;CEP;Contato;Telefone Fixo;Telefone Móvel;Email;Valor;Previsão;Status;Último Evento;Observação
AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;RJAC000011;ABIN RJO;AC;20;0;0133/2016/DC/4600;22/02/2016;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Av. Rep. Do Chile, 230, 16º, Centro Emp. Castelo Branco;;;20031-170;Rodrigo Teperino;(61) 3445-8575;(61) 9674-1179;rodrigoteperino@abin.gov.br;R$ 12.976,95 ;30/04/2016;cancelado;cancelado;13/04/2016 - Recebida OS de Cancelamento de Ativação do circuito
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ALL3000001;ANATEL - MACEIO;L3;10;0;067/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Rua Antonio Gerbase, nº 58, Pitanguinha;;;57052-160;;;;;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
23/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
17/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
02/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
26/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
18/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
11/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
28/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
21/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
17/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
14/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
10/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
01/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;AML3000003;ANATEL - MANAUS;L3;10;0;068/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Rua Borba, nº 698, Cachoeirinha;;;69065-030;;;;;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
23/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
02/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
26/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
18/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
28/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
21/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
17/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
14/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
10/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
01/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
25/01 - Obra concluída, aguardando OS definitiva para instalação do CPE.
21/01 - Obra concluída, aguardando OS definitiva para instalação do CPE.
14/12 -  Obra concluída, aguardando OS definitiva para instalação do CPE.
07/12 - Obra concluída, aguardando OS definitiva para instalação do CPE.
23/11 - Obra concluída, aguardando OS definitiva para instalação do CPE.
16/11 - Obra concluída, aguardando OS definitiva para instalação do CPE. 
09/11 - Obra concluída, aguardando OS definitiva para instalação do CPE. 
03/11 - Obra concluída, aguardando OS definitiva para instalação do CPE"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;CEL3000001;ANATEL - FORTALEZA;L3;10;0;069/2018/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Av. Senador Virgílio Távora, nº 2500, Dionísio Torres;;;60170251;;;;;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
23/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
02/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
26/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
18/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
28/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
21/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
17/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
14/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
10/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
01/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
25/01 - Obra concluída, aguardando OS definitiva para instalação do CPE.
20/01 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD
14/12 -   Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
07/12 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
30/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
23/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
16/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD. 09/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD. 03/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD."
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;DFAC000044;ANATEL - IP BRASILIA;AC;100;0;066/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica Cliente;SAUS Quadra 06, Bloco E, Plano Piloto;;;70070940;;;;;R$ 14.838,59 ;05/11/2015;instalação;pend. cliente;"31/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
23/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
11/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
02/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
26/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
18/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
11/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
28/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
21/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
17/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
14/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
10/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
01/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
25/01 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
20/01 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
14/12 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
07/12 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
30/11 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
23/11 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
16/11 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
09/11 - Canalização concluída, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel."
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;DFL3000019;ANATEL - BRASILIA;L3;100;0;070/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;SAUS Quadra 06, Bloco E, Plano Piloto;;;70070-940;Daniel Wanderley Romão;(61) 2312-1925;;danielromao@anatel.gov.br;R$ 10.438,66 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
25/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
11/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
02/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
26/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
18/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
11/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
28/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
17/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
14/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
10/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
01/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
25/01 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
20/01 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
07/12 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
30/11 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel."
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;GOL3000003;ANATEL - GOIANIA;L3;10;0;071/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Rua Treze, nº 618, Setor Marista;;;;Hebert Moreira Magalhães;(62) 3236-9010;(62) 9266-7323;hebert@anatel.gov.br;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
25/05/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
11/05/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
02/05/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
26/04/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
18/04/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
11/04/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
28/03/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
21/03/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
17/03/2016 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
14/03/2016 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
10/03/2016 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
01/03/2016 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
25/01 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
20/01 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
14/12 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
07/12 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
30/11 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
23/11 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
16/11 -  Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.  	  
09/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
03/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD."
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;MTL3000003;ANATEL - CUIABA;L3;10;0;072/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Rua General Maurício Cardoso, nº 54, Duque de Caxias I;;;78043-308;Jose Praxedes Pereira da Silva;(65) 3316-8001;;praxedes@anatel.gov.br;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
25/05/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
11/05/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
02/05/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
26/04/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
18/04/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
11/04/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
28/03/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
21/03/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
17/03/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE
14/03/2016- Obra concluída, aguardando OS definitiva para fornecimento do CPE
10/03/2016- Obra concluída, aguardando OS definitiva para fornecimento do CPE
01/03/2016- Obra concluída, aguardando OS definitiva para fornecimento do CPE
02/02/2016 - Obra concluída, aguardando OS definitiva para fornecimento do CPE"
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;PAL3000002;ANATEL - BELEM;L3;10;0;073/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Travessa Rosa Moreira, nº 476, Telégrafo Sem Fio;;;66113-115;Edda Almeida Ferreira;(91) 3323-2120;;edda@anatel.gov.br;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
25/05/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
11/05/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
02/05/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
26/04/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
18/04/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
11/04/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
28/03/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
21/03/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
17/03/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
14/03/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
10/03/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
01/03/2016 - Obra concluída - pendente OS definitiva para instalação do CPE.
25/01 - Obra concluída - pendente OS definitiva para instalação do CPE.
20/01 - Obra concluída - pendente OS definitiva para instalação do CPE.
14/07 - Obra concluída - pendente OS definitiva para instalação do CPE.
07/12 - Obra concluída - pendente OS definitiva para instalação do CPE.
30/11 - Obra concluída - pendente OS definitiva para instalação do CPE."
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;PBL3000002;ANATEL - JOAO PESSOA;L3;10;0;074/2015/DC/4600;11/08/2015;Oportunidade;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Rua João Domingos, Miramar;;;58043-010;Giordano Miranda Feitoza;(83) 3255-8801;;feitoza@anatel.gov.br;R$ 4.506,62 ;05/11/2015;instalação;pend. comercial;"31/05/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
25/05/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
11/05/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
02/05/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
26/04/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
18/04/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
11/04/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
28/03/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
21/03/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
17/03/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
14/03/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
10/03/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
01/03/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD.
25/01 - Aguardando OS definitiva para contratação do fornecedor de EILD.
20/01 - Aguardando OS definitiva para contratação do fornecedor de EILD.
14/12 - Aguardando OS definitiva para contratação do fornecedor de EILD.
07/12 - Aguardando OS definitiva para contratação do fornecedor de EILD.
30/11 - Aguardando OS definitiva para contratação do fornecedor de EILD.
23/11 - Aguardando OS definitiva para contratação do fornecedor de EILD.
16/11 - Aguardando OS definitiva para contratação do fornecedor de EILD.
09/11 - Em negociação do valor/prazo de entrega, junto ao fornecedor de EILD (Oi).
03/11 - Em negociação do valor/prazo de entrega, junto ao fornecedor de EILD (Oi).
26/10 - Aguardando aprovação do comercial para contratação de EILD OI. 
19/10 - Recebido proposta do fornecedor de EILD (Oi) em aprovação do comercial."
