Cliente;Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
;MABL000007;upgrade;20/03/2014;30/04/2014;160;01002/2014/DC/4600;;
;MABL000007;upgrade;08/10/2013;31/01/2014;120;00859/2014/DC/4600;;
;MABL000049;pend. cliente;01/03/2016;00/00/0000;0;;;"07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente. 
07/03/2016 - Aguardando projeto de abordagem cliente. 
01/03/2016 - Aguardando projeto de abordagem cliente."
;MABL000049;pend. implantação;29/02/2016;01/03/2016;0;0153/2016/DC/4600;15363;29/02/2016 - Enviados OS e VTA para Engenharia
;MABL000050;pend. implantação;29/02/2016;01/03/2016;0;0152/2016/DC/4600;15354;29/02/2016 - Enviadas OS e VTA para Engenharia
;MABL000050;pend. cliente;01/03/2016;05/04/2016;0;;;"05/04/2016 - Handover para operação.
28/03/2016 - Agendado fusões e jumpers no pop de Sitio Novo para 31/03/2016
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente.
07/03/2016 - Aguardando projeto de abordagem cliente.
01/03/2016 - Aguardando projeto de abordagem em FO cliente."
;MABL000050;em ativação;05/04/2016;05/04/2016;0;;;"05/04/2016 - Em ativação.
05/04/2016 - Handover para operação."
;MABL000050;agendado;05/04/2016;07/06/2016;0;;;"07/06/2016 - Cliente ativado.
23/05/2016 - Telebras tentando entrar em contato com o cliente para continuar sua ativação
20/05/2016 - Fusões e jumpers realizados / prosseguir com a ativação.
18/04/2016 - Adiada a ativação para realização de jumper e fusões.
18/04/2016 - Agendado ativação do circuito para dia 25/04

12/04/2016 - Em contato com o cliente fomos informados que a infra do cliente não está finalizada. Cliente pediu retorno em 20/04, para poder agendar uma data de ativação do circuito

05/04/2016 - Em configuração."
;MABL000050;ativado;07/06/2016;07/06/2016;100;0152/2016/DC/4600;15354;07/06/2016 - Cliente ativado.
;PABL000028;pend. cliente;01/03/2016;00/00/0000;0;;;"07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente.
07/03/2016 - Aguardando projeto de abordagem cliente.
01/03/2016 - Aguardando projeto de abordagem em FO cliente."
;PABL000028;pend. implantação;29/02/2016;01/03/2016;0;0154/2016/DC/4600;15362;29/02/2016 - Enviados OS e VTA para Engenharia
A. J. FRIEDRICH COMÉRCIO EIRELI - ME;TOBL000036;pend. implantação;18/12/2014;18/12/2014;0;;;Enviado OS e VT para implantação
;TOBL000036;pend. cliente;18/12/2014;26/05/2015;0;;;"22/04 (14/04) (10/03) - Aguardando cliente enviar documentação de licenciamento do rádio junto a Anatel e certificado de NR-35
25/02 - Proj. Cliente e Topologia salvos no databook. 
18/02 - Aguardando PROA
"
;TOBL000036;cancelado;26/05/2015;26/05/2015;0;01704/2014/DC/4600;5409;26/05 - Recebido OS de cancelamento. Solicitado desconfiguração do circuito, liberação dos filtros BGP e retirada do rádio do cliente do PoP de Araguaína
ABC WIFI TELECOM LTDA - ME;AMBL000003;mudança de configuração;23/12/2015;00/00/0000;300;2061/2015/DC/4600;13608;23/11 -  Mudança de Configuração - Cliente irá desativar o circuito quando for ativado o circuito de transporte AML2000002
;AMBL000003;pend. implantação;27/03/2015;04/05/2015;0;;;"22/04 - Engenharia está migrando o Arco via PRODAM. Prev. até 30/04. Depois cliente será liberado para ativar
14/04 - Em elaboração novo projeto. Migração para Arena com FO.
27/03 - Em elaboração de projeto do cliente"
;AMBL000003;pend. implantação;07/08/2014;07/08/2014;0;OS - 01238/2014/DC/4600;6649;Encaminhada OS e VTA para Engenharia.
;AMBL000003;bloqueado;10/08/2015;10/08/2015;0;01819/2015/DC/4600;10369;10/08/2015 - Cliente bloqueado.
;AMBL000003;pend. cliente;25/02/2015;11/03/2015;0;;;"11/03 - Comercial elaborando nova VTA para atendimento via Arena Manaus.
25/02 - Ativação não executada. Aguardando novo projeto de abordagem de F.O. do cliente. Cliente não executou o link no POP Prodam e sim na Arena Manaus."
;AMBL000003;pend. comercial;07/08/2014;11/09/2014;0;;;OS e VTA devolvidas para retificação.
;AMBL000003;em ativação;04/05/2015;12/05/2015;0;;;"12/05 - Cliente ativado.
04/05 - Realizado handover para ativação."
;AMBL000003;ativado;12/05/2015;12/05/2015;100;01238/2014/DC/4600;6649;
;AMBL000003;pend. implantação;11/03/2015;13/03/2015;0;;;"13/03 - Liberado fusões para o cliente
11/03 - Encaminhada OS e VTA retificadas para Engenharia."
;AMBL000003;upgrade;15/05/2015;15/05/2015;300;01694/2015/DC/4600;8414;
;AMBL000003;trânsito;28/08/2015;15/09/2015;0;01854/2015/DC/4600;10854;"15/09 - Liberação do Transito.
28/08 - Inclusão de Transito (ANS a ser liberado: 264470 Bloco: 131.255.80/22)."
;AMBL000003;mudança de endereço;10/07/2015;17/07/2015;300;01780/2015/DC/4600;9774;"17/07 - Alterado o endereço.
10/07 - Encaminhada OS e VTA para Engenharia - Mudança de endereço"
;AMBL000003;pend. implantação;11/09/2014;18/08/2014;0;;;Aguardando backbone de Manaus - OPGW com problemas.
;AMBL000003;pend. implantação;24/09/2014;23/02/2015;0;;;"24/09 - Aguardando projeto PRODAM
06/01 - Aguardando  entrega do POP Prodam pela Eng. de Transporte"
;AMBL000003;pend. cliente;13/03/2015;24/03/2015;0;;;"24/03 - Fusões concluídas pelo cliente
13/03 - Aguardando cliente realizar fusões de F.O."
;AMBL000003;pend. comercial;18/08/2014;24/09/2014;0;;;Aguardando PROA.
;AMBL000003;em ativação;23/02/2015;25/02/2015;0;;;Handover para operação . Ativação agendada para 25/02/2015.
;AMBL000003;mudança de configuração;21/05/2015;26/08/2015;300;01684/2015/DC/4600;8535;"26/08 - Ativado o BGP
04/08 - Aguardando cliente realizar fusões de FO.
28/07 - Aguardando cliente realizar fusões e enviar relatório de teste de OTDR. 
21/07 - Aguardando cliente realizar fusões e enviar relatório de teste de OTDR. 
17/07 - Aguardando cliente realizar fusão de FO e enviar teste de OTDR.
01/07 - Cliente solicitou que a alteração da rota estática para BGP seja realizada junto com a alteração do endereço, da Arena Amazonia para PRODAM
21/05 - Solicitação de Mudança de Rota Estática para BGP"
;AMBL000003;desbloqueado;26/08/2015;26/08/2015;300;01238/2014/DC/4600;8535;26/08 - Cliente desbloqueado, quando foi ativada a rota BGP
;AMP2000002;pend. comercial;15/03/2016;00/00/0000;0;;;"31/05/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
24/05/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
11/05/2016 - Cliente não compareceu na OC agendada para 02/05 na ponta de Manaus, em agendamento de nova data. Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
03/05/2016 - Cliente não compareceu na OC agendada para 02/05 na ponta de Manaus, em agendamento de nova data. Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
26/04/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
19/04/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
12/04/2016 - Devolvida para o Comercial a OS e VTA para adequação. O produto P2P PTT ainda não é vendido no PTT DF. Comercial agendou uma reunião para 22/03.
05/04/2016 - Devolvida para o Comercial a OS e VTA para adequação. O produto P2P PTT ainda não é vendido no PTT DF. Comercial agendou uma reunião para 22/03.
21/03/2016 - Devolvida para o Comercial a OS e VTA para adequação. O produto P2P PTT ainda não é vendido no PTT DF. Comercial agendou uma reunião para 22/03.
15/03/2016 - Devolvidas OS e VTA para Comercial para revisão. O PTT DF ainda não atende o produto P2P PTT."
;AMP2000002;pend. cliente;08/06/2016;00/00/0000;0;;;07/06/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
;AMP2000002;mudança de configuração;01/06/2016;01/06/2016;0;2053/2015/DC/4600;13604;"01/06/2016 - Recebido a correção de designação 
De: AML2000002 
Para: AMP2000002"
;AMP2000002;pend. comercial;20/01/2016;03/03/2016;0;;;"03/03/2016 - Recebida OS e VTA retificados da Comercial

01/03/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente.
16/02/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente.
26/01/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente.
21/01/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente. 
20/01/2016 - Agendado jumper na Alog para 22/01"
;AMP2000002;pend. implantação;03/03/2016;15/03/2016;0;2053/2015/DC/4600;13604;"15/03/2016 - Devolvidas OS e VTA para Comercial para revisão. O PTT DF ainda não atende o produto P2P PTT.
07/03/2016 - OS revisada chegou para GERA em 04/03 - em análise prev. para até 08/03.
04/03/2016 - Enviados OS e VTA para a Comercial"
;AMP2000002;pend. implantação;17/12/2015;20/01/2016;0;2053/2015/DC/4600;13604;"23/12 - Enviados OS e VTA para Engenharia
17/12 - Recebidos OS r VTA da Comercial. OS voltou para retificação"
;DFBL000022;pend. cliente;24/05/2016;00/00/0000;0;0262/2016/DC/4600;;"07/06/2016 - Aguardando PROA cliente desde 17/05.
31/05/2016 - Aguardando PROA cliente desde 17/05.
24/05/2016 - Recebido OS retificada, solicitado PROA cliente."
;DFBL000022;pend. cliente;26/04/2016;03/05/2016;0;;;26/04/2016 - Em análise da possibilidade de atender o cliente a partir do pop MINICOM.
;DFBL000022;pend. comercial;03/05/2016;11/05/2016;0;;;"11/05/2016 - Recebida a OS retificada e encaminhada para a engenharia.
03/05/2016 - Solicitado revisão de OS e VTA para atendimento do cliente a partir do pop MINICOM."
;DFBL000022;pend. implantação;11/05/2016;12/05/2016;0;;;11/05/2016 - Recebida a OS retificada e encaminhada para a engenharia.
;DFBL000022;pend. comercial;12/05/2016;24/05/2016;0;;;11/05/2016 - Solicitado revisão de OS e VTA para atendimento do cliente a partir do pop MINICOM.
;DFBL000022;pend. implantação;12/04/2016;26/04/2016;0;0262/2016/DC/4600;16702;"19/04/2016 - Mirele está verificando disponibilidade de atendimento do cliente no POP TLB Sede (Devido à mudança de sede e remanejamento do POP)
12/04/2016 - Enviada OS e VTA para Engenharia"
AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;DFAC000056;pend. comercial;11/04/2016;00/00/0000;0;;;"31/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
25/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
11/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
02/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
26/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
18/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso). 
11/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso)."
;DFAC000056;pend. implantação;22/02/2016;11/04/2016;0;0132/2016/DC/4600;15119;"04/04/2016 - Previsto início de obra para 11/04, comercial enviou cronograma e solicitação de acesso para equipe ABIN em 04/04.
28/03/2016 - Previsto início para 29/03, conclusão até 06/04.
21/03/2016 - Máquina de MND do fornecedor com defeito, previsto início das obras para semana de 21/03, prazo de conclusão será fornecido ainda esta semana.
14/03/2016 - Vistoria realizada, previsto início da obra para semana do dia 14/03 conclusão até 31/03 (depende da disponibilidade da máquina de MND do fornecedor)
01/03 - Em agendamento de vistoria.
29/02 - Em geração de ID e PEP para vistoria e projeto
22/02/2016 - Enviadas OS e VTA para Engenharia"
;RJAC000011;pend. implantação;22/02/2016;11/04/2016;0;0133/2016/DC/4600;15137;"04/04/2016 - Projeto será enviado para Telebras em 05/04, previsto entrega para assinatura da gerente do escritório regional do RJ até 06/04, protocolo na prefeitura até 08/04.
28/03/2016 - Equipe Petcom realizou vistoria na ABIN na quinta-feira (24/03), previsto entrega do projeto para assinatura da gerente regional Telebras RJ até 30/03. Em seguida será protocolado na SECONSERVA.
21/03/2016 - Projeto enviado para assinatura do escritório regional do RJ, aguardando confirmação do fornecedor de protocolo junto a SECONSERVA.
14/03/2016 - Em projeto, previsto entrega do mesmo para assinatura da gerente regional (Soraia) para 15/03/2016.
11/03/2016 - Em projeto, previsto protocolo junto a prefeitura do RJ para a próxima semana.
01/03 - Em agendamento de vistoria.
29/02 - Em geração de ID e PEP para vistoria e projeto
23/02/2016 - Enviada OS e VTA para Engenharia"
;RJAC000011;pend. comercial;11/04/2016;13/04/2016;0;;;"13/04/2016 - Recebida OS de Cancelamento de Ativação do circuito

11/04/2016 - Comercial informou que irá cancelar em 08/04. (Cláudio Laranjeira) aguardando OS de cancelamento"
;RJAC000011;cancelado;13/04/2016;13/04/2016;0;0266/2016/Dc/4600;15137;13/04/2016 - Recebida OS de Cancelamento de Ativação do circuito
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ALL3000001;pend. comercial;01/03/2016;00/00/0000;0;;;"31/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
23/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
17/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
02/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
26/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
18/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
11/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
28/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
21/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
17/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
14/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
10/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
01/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD"
;ALL3000001;pend. implantação;19/08/2015;29/02/2016;0;067/2015/DC/4600;10631;"02/02 - Em viabilidade por atendimento por EILD, concessionária de energia negou o compartilhamento de postes.
25/01 - Prefeitura solicitou em 25/01 revisão do projeto com nova rota.
20/01 - Previsão para feedback da concessionária de energia sobre o licenciamento para 21/01
11/01 - Previsão para feedback da concessionária de energia sobre o licenciamento para 21/01.
06/01 - Aguardando licenciamento para início das obras. Marlise está tratando diretamente com a concessionária de energia local;
14/12 - Aguardando licenciamento para início das obras;07/12 - Aguardando licenciamento para inicio das obras.
30/11 - Aguardando número do protocolo, pendente licenciamento.
23/11 - Aguardando número do protocolo, previsto para até 27/11.
16/11 - Nova vistoria foi realizada, aguardando número do novo protocolo.
09/11 - Nova vistoria em andamento para atender as exigências da concessionária, protocolo até 13/11.
03/11 - Nova vistoria em andamento para atender as exigências da concessionária, protocolo até 13/11.
26/10 - Protocolo junto a concessionaria local ate 30/10, contrato de compartilhamento de uso dos postes em andamento.
19/10 - Projeto em análise da Eng. de Acesso, previsto análise até 20/10.
09/10 - Projeto não entregue pelo fornecedor, previsto para 14/10.
28/09 - Previsto entrega do projeto para até 07/10.
24/09 - A vistoria foi executada. Foi solicitado prazo para envio do projeto. 
14/09 - Vistoria agendada para 24/09.
01/09 - Em emissão de OS de vistoria e projeto, cronograma até 04/09.
25/08 - Em emissão de OS elaboração de cronograma de vistoria para elaboração de projeto.
25/08 - Em emissão de OS elaboração de cronograma de vistoria para elaboração de projeto.
19/08 - Enviado OSO e VTA para Engenharia."
;AML3000003;pend. comercial;16/11/2015;00/00/0000;0;;;"31/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
23/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
02/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
26/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
18/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
28/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
21/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
17/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
14/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
10/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
01/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
25/01 - Obra concluída, aguardando OS definitiva para instalação do CPE.
21/01 - Obra concluída, aguardando OS definitiva para instalação do CPE.
14/12 -  Obra concluída, aguardando OS definitiva para instalação do CPE.
07/12 - Obra concluída, aguardando OS definitiva para instalação do CPE.
23/11 - Obra concluída, aguardando OS definitiva para instalação do CPE.
16/11 - Obra concluída, aguardando OS definitiva para instalação do CPE. 
09/11 - Obra concluída, aguardando OS definitiva para instalação do CPE. 
03/11 - Obra concluída, aguardando OS definitiva para instalação do CPE"
;AML3000003;pend. implantação;19/08/2015;26/10/2015;0;068/2015/DC/4600;10632;"26/10 - Obra concluída em 23/10, testes de integridade de FO em andamento  26/10. 
19/10 - Em confirmação do início de obra em 19/10 - previsto conclusão até 22/10.
16/10 - O fornecedor alegou problemas com o transporte de materiais. Previsão de início no dia 19/10/2015 e termino dia 22/10/2015
01/10- Previsto início da obra para até 10/10.
28/09 - Previsto início da obra para até 09/10.
24/09 - Cobrado retorno da G4S para informar a data de execução da obra.
21/09 - Em abertura de OS de execução - em agendamento de execução com fornecedor.
14/09 - Projeto em análise pela eng. de acesso e alinhando cronograma de execução.
01/09 - Vistoria realizada em 27/08, previsto projeto para 14/09.
25/08 - Em emissão de OS elaboração de cronograma de vistoria para elaboração de projeto.
19/08 - Enviado OSO e VTA para Engenharia."
;CEL3000001;pend. comercial;16/11/2015;00/00/0000;0;;;"31/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
23/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
02/05/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
26/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
18/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
11/04/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
28/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
21/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
17/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
14/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
10/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
01/03/2016 - Obra concluída, aguardando OS definitiva para instalação do CPE.
25/01 - Obra concluída, aguardando OS definitiva para instalação do CPE.
20/01 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD
14/12 -   Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
07/12 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
30/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
23/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD.
16/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD. 09/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD. 03/11 - Aguardando OS definitiva para contratar EILD, 30 dias para ativação após contratar EILD."
;CEL3000001;pend. implantação;19/08/2015;26/10/2015;0;069/2018/DC/4600;10633;"26/10 - Viabilidade de EILD CEMIG TELECOM, com o comercial Telebras para analise.
19/10 - Em solicitação de viabilidade por EILD previsto retorno até 27/10 - Dificuldade para receber projeto do fornecedor de FO, já sinalizado dificuldades para implantação do acesso Telebras.
09/10 - Projeto não entregue pelo fornecedor.
05/10 - Aguardando entrega do projeto do fornecedor previsto para entregar até 09/10.
01/10 - Aguardando entrega do projeto do fornecedor previsto para entregar até 09/10.
30/09 - Previsto entrega do projeto para 08/10.
28/09 - Previsto entrega do projeto para 29/09.
24/09 - Vistoria sendo realizada 24/09.
14/09 - Vistoria agendada para 22/09.
01/09 - Em emissão de OS de vistoria e projeto, cronograma até 04/09.
25/08 - Em emissão de OS elaboração de cronograma de vistoria para elaboração de projeto.
19/08 - Enviado OSO e VTA para Engenharia"
;DFAC000044;pend. cliente;09/11/2015;00/00/0000;0;;;"31/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
23/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
11/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
02/05/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
26/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
18/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
11/04/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
28/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
21/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
17/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
14/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
10/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
01/03/2016 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
25/01 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
20/01 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
14/12 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
07/12 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
30/11 -  Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
23/11 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
16/11 - Lançamento de dutos concluído, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel.
09/11 - Canalização concluída, cliente só autoriza conclusão após contrato assinado entre Telebras e Anatel."
